current,market_capital,name,pe_ttm,percent,symbol
15.45,839960834,尤尼石油,-18.547,6.4,UNT
106.28,17470468158,Diamondback能源,20.659,6.37,FANG
13.37,35345079,综合媒体科技,29.09,6.36,IMTE
3.38,90944612,基本能源服务,-0.629,6.29,BAS
10.18,511487972,寺库,22.605,6.26,SECO
1.36,11026696,美国工业服务,-31.595,6.25,IDSA
58.3,43841600000,陶氏化学(更名DWDP),40.038,6.21,DOW
18.63,2572304200,国际通信卫星,-4.29,6.21,I
1.03,79779865,Sesen Bio,-2.368,6.16,SESN
0.7,13557333,Novume Solutions,-2.377,6.06,NVMM
6.31,1534946837,SRC Energy,5.903,6.05,SRCI
27.93,2434903102,Veoneer,-8.854,5.92,VNE
